FID,FID_1,FID_1_1,DISTRICTID,NAME,AGENCY,AGENCYURL,CONTACT,PHONE,EMAIL,SUBTYPEFIE,LASTUPDATE,LASTEDITOR,created_us,created_da,last_edite,last_edi_1,SHAPE_Leng,SHAPE_Area,Count_,Sum_Zip,Sum_Buildi,Sum_Number,Sum_Width,Sum_Length,Sum_Square,Sum_Numb_1,Sum_Occupa,Sum_Latitu,Sum_YearBu,Sum_Longit,Sum_Assess,Sum_Statio,Count_1,Sum_totalR,Sum_Exposu,Sum_Patien,Sum_RunNum,Sum_Lati_1,Sum_Long_1
34,34,34,1536,Fire Station 15,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,28970.732722600002000,23537533.254099999000000,1,61615,0.000000000000000,0,0,0,0,0,0,40.792304000000001,0,-89.579343800000004,0,12,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
35,35,35,1216,Fire Station 12,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,CKOHLER,3/20/2017 0:00:00,12322.611373000000000,6929109.188050000000000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
36,36,36,1013,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,15190.024374700000000,6014235.102889999700000,16,985649,40.000000000000000,7,83,335,16075,1,155,651.395447099999960,0,-1433.425829200000000,0,74,4,8376,4,0,808000000000.000000000000000,162.852028999999990,-358.353632000000000
37,37,37,1020,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,11362.632567700000000,4333202.238370000400000,6,369618,55.000000000000000,6,0,0,214500,0,1027,244.282043399999990,2009,-537.484561200000030,0,60,7,14658,7,0,1414000000000.000000000000000,284.984978000000010,-627.051730799999970
38,38,38,1021,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10231.571755000001000,4950774.921249999700000,2,123206,0.000000000000000,0,0,0,0,0,0,81.432233900000000,0,-179.150448899999990,0,10,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
39,39,39,311,Fire Station 3,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10608.284543100001000,3268061.613080000000000,1,61604,0.000000000000000,1,0,0,21400,0,0,40.709471700000002,1942,-89.599035200000003,0,3,3,6282,3,0,606000000000.000000000000000,122.136187699999990,-268.790642800000000
40,40,40,1012,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,8055.659699269999700,2569852.335570000100000,13,800840,69.000000000000000,11,0,0,50130,0,46,529.320372499999960,0,-1164.725579599999900,0,110,2,4188,3,0,404000000000.000000000000000,81.429444000000004,-179.192941999999990
41,41,41,1019,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,9152.244918730000800,4629201.112569999900000,2,123206,0.000000000000000,1,0,0,3500,0,15,81.435080499999998,0,-179.156170900000010,0,20,8,16752,9,0,1616000000000.000000000000000,325.738243599999980,-716.640439700000000
42,42,42,1011,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,7266.773514100000300,3281473.623220000000000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,1,2094,1,0,202000000000.000000000000000,40.720572599999997,-89.588641600000003
43,43,43,1010,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10638.250978200000000,3748945.004660000100000,3,184809,0.000000000000000,1,0,0,10650,0,159,122.166817800000000,1972,-268.779969999999990,0,21,5,10470,5,0,1010000000000.000000000000000,203.616929199999990,-447.944368399999970
44,44,44,1009,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,8176.402779719999700,4010763.490160000000000,5,308019,0.000000000000000,5,0,0,133750,0,331,203.608255600000010,0,-447.976712799999970,0,43,2,4188,2,0,404000000000.000000000000000,81.440365700000001,-179.194085599999990
45,45,45,1017,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10385.966436700000000,4285206.570080000000000,4,246412,0.000000000000000,3,0,0,105430,0,314,162.903149000000010,3908,-358.332967999999990,0,40,1,2094,1,0,202000000000.000000000000000,40.722158000000000,-89.576837999999995
46,46,46,1016,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,7799.104471779999600,2377929.393459999900000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,1,2094,1,0,202000000000.000000000000000,40.725974000000001,-89.577065000000005
47,47,47,1015,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10810.668003500001000,4369963.750620000100000,20,1232060,27.000000000000000,17,60,110,62000,0,7,814.552808899999950,0,-1791.487902200000000,0,200,3,6282,3,0,606000000000.000000000000000,122.178747300000000,-268.724118299999990
48,48,48,1008,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10960.425308800000000,6857680.668329999800000,14,862487,235.000000000000000,22,600,800,1024750,72,680,570.216061900000000,1905,-1254.253481799999900,0,130,3,6282,3,0,606000000000.000000000000000,122.183992000000000,-268.766525000000000
49,49,49,1007,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,6050.117333999999600,2243319.043080000200000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
50,50,50,1005,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13559.892437000000000,5329115.827340000300000,4,246445,50.000000000000000,4,263,498,29325,2,0,162.953532499999990,0,-358.371518600000000,0,40,2,4188,2,0,404000000000.000000000000000,81.469607800000006,-179.187436300000000
51,51,51,1014,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,13394.741780700000000,10028102.923300000000000,5,308060,0.000000000000000,1,0,0,46900,0,332,203.661938300000000,1954,-447.859976300000030,0,10,1,2094,1,0,202000000000.000000000000000,40.730218999999998,-89.571684000000005
52,52,52,1018,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,15417.338883900000000,10874127.402000001000000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
53,53,53,1006,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,9768.559662100000400,4818080.103009999700000,3,184842,25.000000000000000,4,0,0,29900,0,49,122.217804100000000,1978,-268.753665300000020,0,30,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
54,54,54,1004,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,7358.237604150000200,2460135.100900000000000,2,123228,0.000000000000000,1,0,0,16000,2,15,81.479244100000003,0,-179.190539599999990,0,19,1,2094,1,0,202000000000.000000000000000,40.741957999999997,-89.597235999999995
55,55,55,1003,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,11350.943069299999000,3994229.527139999900000,16,985824,139.000000000000000,12,390,785,34825,6,0,651.840908199999940,0,-1433.470060500000000,0,160,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
56,56,56,1002,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,10930.038115699999000,3798265.742019999800000,6,369651,0.000000000000000,2,0,0,50000,0,487,244.489145200000000,1948,-537.563185100000060,0,60,1,2094,1,0,202000000000.000000000000000,40.745669999999997,-89.594288000000006
57,57,57,1001,Fire Station 10,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,9441.539649270000200,1643770.846820000100000,6,369673,35.000000000000000,1,70,50,3500,0,0,244.513223600000000,0,-537.561267300000050,0,20,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
58,58,58,1647,Fire Station 16,City of Peoria,http://www.peoriagov.org/fire-department/, , , ,1,10/4/2016 0:00:00,COP\jbiller,GISDATA,1/5/2017 0:00:00,GISDATA,1/5/2017 0:00:00,7400.446531310000000,2455689.859459999900000,0,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000
